text,target
"అయితే ఇక్కడ ఒకటే సమస్య ""కొత్త కొత్త గెటప్పులు విక్రమ్‌కు అలవాటైపోవడం కాకుండా ప్రేక్షకులకు కూడా రొటీన్‌ అనిపిస్తున్నాయి.",0
లేని పరుగుకు యత్నించిన మణిదీప్‌ కారణంగా షమీ (0) రనౌట్‌ అయ్యాడు.,0
డర్బన్‌: శ్రీలంక అద్భుత విజయం సాధించింది.,1
"మిగతా మూడు టెస్టుల్లోనూ ఇదే స్ఫూర్తి కొనసాగిస్తాం.
",1
"వన్డేల్లో ఆసీస్‌పై వెయ్యి పరుగులు పూర్తి చేసిన మొదటి భారత ఓపెనర్లుగా వీరు నిలిచారు.
",1
"హైదరాబాదీ అమ్మాయి, ప్రముఖ బాడ్మింటన్‌ క్రీడాకారిణి సైనా నెహ్వాల్‌ బయోపిక్‌ ప్రారంభమైంది.",1
ఇప్పుడు ‘శరభ’ను విడుదల చేస్తున్నాను.,1
"ఏపీలో పదో తరగతి పరీక్ష ఫలితాలు రేపు వెల్లడి కానున్నాయి.
",1
"త్వరలో ప్రారంభం కానున్న ఆస్ట్రేలియా పర్యటన నేపథ్యంలో ప_x005F_x007f_థ్వీ పూర్తి స్థాయి ఫిట్‌నెస్‌తో ఉండేందుకు సచిన్‌,జగదీశ్‌ ఇరువురూ, రబ్బరు బంతితో ప_x005F_x007f_థ్వీకి శిక్షణ ఇచ్చారు.
",1
"శాంతి భద్రత విషయంలో ఎవరైనా సరే జోక్యం చేసుకుంటే తోలు తీసేయండి అంటూ జగన్‌ ఆదేశాలు ఇచ్చినట్టు తెలుస్తోంది.
",1
14 సిక్సర్లతో విరుచుకుపడిన గేల్‌.,1
"ప్రభుత్వ ఉద్యోగుల ఐఆర్ చెల్లింపునకు మంత్రివర్గం గ్రీన్ సిగ్నల్ ఇచ్చింది.
",1
"అనంతరం  యూత్‌ హాస్టల్స్‌ ఆఫ్‌ ఇండియా స్టేట్‌ ఛైర్మన్‌ వెగా జోషి మాట్లాడుతూ పర్వతారోహణ అనేది ఎంతో ఒడిదుడుకుతో కూడుకున్న సాహసయాత్ర    భారతదేశంలో అన్నిటికన్నా సర్‌పాస్‌ పర్వతారోహణ ఎంతో కష్టతరమైందన్నారు.
",1
"తన కాన్వాయ్ వల్ల ప్రజలు ఇబ్బంది పడకూడదని ఏపీ సీఎం జగన్ మోహన్ రెడ్డి ఆదేశించడంతో అధికారులు ప్రత్యమ్నాయ మర్గాలు అన్వేషిస్తున్నారు.
",1
"అక్కడే నుండే ఆ క్యారెక్టర్స్‌ సూర్యకాంతంగారి నటనలో, డైలాగ్‌ చెప్పడంలో ఓ స్టయిల్‌ ఉంటుంది.",1
"దగ్గుబాటి గెలిస్తే ఆయనను స్పీకర్ ను చేసి చంద్రబాబు చేత అధ్యక్షా అనిపించాలన్న జగన్ కోరిక తీరలేదు.
",0
ఇదే ఉత్సాహంలో ‘సాంద్‌ కీ ఆంఖ్‌’ అనే సినిమాకు సైన్‌ చేసి అందరినీ ఆశ్చర్యపరిచారు.,1
"క్రైస్ట్‌చర్చ్‌: శ్రీలంక న్యూజిలాండ్‌ పర్యటనలో భాగంగా జరుగుతోన్న రెండో టెస్టు మ్యాచ్‌లో న్యూజిలాండ్‌ సీమర్‌ ట్రెంట్‌ బౌల్ట్‌ అద్భుత బౌలింగ్‌తో ఆకట్టుకున్నాడు.
",1
ఈ పెళ్లిలో ప్రతిదీ ప్రత్యేకమేనని తెలుస్తోంది.,1
వరుసగా నాలుగవ సెషన్‌లో మార్కెట్లు తీవ్రంగా నష్టపోయాయి,0
గురువారం ఒక్కరోజే షేరు విలువ 10% కోల్పోయింది,0
జట్టులో ఓపెనర్‌ సమకే 1 మాత్రమే పరుగుల ఖాతా చేసింది,0
బ్యాంకులో అంత మేర డబ్బులు లేకపోవటంతో ఈ ప్రక్రియ నిలిచిపోయింది,0
"దీంతో ఏపీ ప్రభుత్వం అలర్ట్ అయ్యింది.
",1
"కరెక్ట్ గా ఫోకస్ చేస్తే,కెజీఎఫ్ కంటే పవర్ ఫుల్ కధ జగన్ మోహన్ రెడ్డిది అవుతుంది",1
తలకు తీవ్ర గాయం కావడంతో ప్రాణాలు కోల్పోయింది,0
"రెండోసారి ప్రధాని అయిన నరేంద్రమోదీకి, ఏపీలో విజయం సాధించిన వైఎస్ జగన్‌మోహన్ రెడ్డికి శుభాకాంక్షలు చెప్పారు.
",1
అదే సమయంలో రైల్వేట్రాక్‌పై వెళ్తున్న ఐదు గేదెలను రైలు ఢీకొట్టడంతో నాలుగు అక్కడికక్కడే చనిపోయి పట్టాలపై చెల్లాచెదురుగా పడ్డాయి,0
"బ్యాంక్‌ ఆఫ్‌ బరోడా నివేదిక ద్వారా 2,160 కేసుల ద్వారా రూ 12,962:96 కోట్లు, పంజాబ్‌ నేషనల్‌ బ్యాంకు 2,047 కేసుల ద్వారా రూ 28,700:74 కోట్లు, యాక్సిస్‌ బ్యాంకు నుండి నమోదైన 1,944 కేసుల ద్వారా రూ 5,301:69 కోట్ల విలువైన ప్రజాధనం మోసాలకు గురైంది",0
"వివేక్‌ ప్రేమ కథలో వచ్చే శిల్ప పాత్రలో సిమ్రాన్‌ చౌదరి అందంగా కనిపించారు.
",1
"బ్రెండన్‌ ప్రస్తుతం టీ10 ఫార్మాట్‌లో ఆడుతున్నాడు.
",1
అక్కడ చేసిన తప్పిదాలు మరోసారి జరగకుండా చూసుకోవడమే నా ముందున్న లక్ష్యం అని రషీద్‌ తెలిపాడు,1
"రజనీ, ఈశ్వరీ రావ్‌ల మధ్య వచ్చే సన్నివేశాలు అలరిస్తాయి.
",1
"తాను అంత పెద్ద పదవులు నిర్వహించలేనని, మరొకరికి ఇవ్వాలని తన ఫేస్‌బుక్‌ ఖాతాలో వ్యంగ్యంగా పోస్టు చేయడం పార్టీ వర్గాల్లో చర్చకు దారితీసింది.
",0
"భేండీ బజార్ లోని భవనంలో అగ్నిప్రమాదం జరిగి మంటలు వ్యాపించడంతో 12 మందిని రక్షించారు.
",1
"కథానాయిక‌ని కేవ‌లం గ్లామ‌ర్ కోసం వాడుకోకుండా, ఆ పాత్ర‌తో కావ‌ల్సినంత వినోదం పండించ‌డానికి ఫిక్స‌య్యాడు మారుతి",1
"హైదరాబాద్‌: ఇండియన్‌ ప్రీమియర్‌ లీగ్‌(ఐపీఎల్‌) కింగ్స్‌ ఎలెవన్‌ పంజాబ్‌ జట్టులో మరో కుదుపు.
",0
ఇస్మార్ట్‌ లో ఇంట్ర‌వెల్ ట్విస్ట్ బాగా పేలింద‌ని తెలుస్తోంది,1
కెరీర్‌ ఆరంభంలో ఫలితాల పరంగా నిరాశే ఎదురైనా.,0
ద‌ర్శ‌నానంతరం వేదపండితులు వేదాశీర్వచనం చేశారు,1
ఘనంగా ప్రారంభమైన ‘ఆర్‌ఆర్‌ఆర్‌’.,1
"దెందులూరు నుండి పోటీ చేసి ఘన విజయాన్ని సాధించారు.
",1
కార్తీక్‌ తల్లిదండ్రులు ఉద్యోగరీత్యా కువైట్‌లో ఉంటుండగా అతను కడప జిల్లా రాయచోటిలో మేనమామ వద్ద ఉంటూ చదువుకొంటున్నాడు,1
"అతడు సీనియర్‌ క్రికెటర్‌ కనుక మ్యాచ్‌లో రాణించగలడన్న నమ్మకం ఉంది’ అని తెలిపాడు.
",1
"ఈ మ్యాచ్‌తో జట్టులోకి వచ్చిన భారత పేసర్‌ జస్‌ప్రీత్‌ బుమ్రా విండీస్‌ను దెబ్బతీశాడు.
",0
"తమిళనాడులో ఎండతీవ్రతకు చెరువులు నీటిమట్టం పూర్తిగా తగ్గిపోయింది.
",0
ఫస్ట్‌టైమ్ కథ విన్నపుడు ఎంత ఎగ్జయింట్‌మెంట్ కలిగింతే -ట్రైలర్ కట్ చూసిన తరువాతా అదే ఎగ్జయింట్‌మెంట్ కలిగిందన్నాడు,1
దీనివల్ల ఇబ్బందంటూ ఏమీ పడలేదు,1
తిరువనంతపురం ఎయిర్‌పోర్ట్‌ ప్రైవేటీకరణ తగదు,0
"ఇప్పుడు తమిళనాడు కూడా అదే దారిలో నడుస్తోంది.
",1
ఈ ఇన్నింగ్స్‌లో ఉమేశ్‌ యాదవ్‌ నాలుగు కీలక వికెట్లు తీశాడు.,0
పూర్తి ఫిట్‌నెస్‌తో పునరాగమనం చేస్తాను.,1
"నేను పెద్దయ్యేసరికి ఏపి నెంబర్ వన్ కావాలి, నువ్వే ముఖ్యమంత్రిగా ఉండాలి, ఏం చేస్తావో నాకు తెలియదు అంటూ భావోద్వేగానికి గురయ్యాడు.
",1
ఈస్ట్‌కోస్ట్‌ ప్రొడక్షన్స్‌ బ్యానర్‌పై మహేశ్‌ కొనేరు నిర్మించిన ఈ సినిమా మార్చి 1న విడుదలై సక్సెస్‌ ఫుల్‌ టాక్‌తో దూసుకుపోతోంది.,1
"ఆ రోజు సోమవారం గ్రీవెన్స్  డే సందర్భంగా రాష్ట్ర వ్యాప్తంగా ధర్నాలు నిర్వహించాలని ఈ సంఘం నిర్ణయించింది.
",0
"షారుక్‌ నటించిన చివరి మూడు చిత్రాలు (రయీస్‌, జబ్‌ హ్యారీ మెట్‌ సెజల్‌, జీరో) బాక్సాఫీస్‌ వద్ద పరాజయం పాలయ్యాయి.",0
"తెర నిండా నటీనటులు ఉన్నా ఎవరినీ సరిగ్గా వినియోగించుకోలేదు.
",0
పని ఒత్తిడి కారణంగా 45 నుంచి 50 ఏండ్ల మధ్య వయస్సు ఉన్న పోలీస్ సిబ్బందికి అనారోగ్య సమస్యలు వస్తున్నాయని తమ పరిశీలనలో తేలిందని పేర్కొన్నారు,0
"గాయాల కారణంగా ఏడు వారాలపాటు షూటింగ్‌కి గ్యాప్ ఇచ్చిన చిత్రం బృందం, ప్రస్తుతం ఎన్టీఆర్‌పై కొన్ని కీలక సన్నివేశాలు షూట్ చేస్తున్నారట",1
గతంలో మాస్టర్‌ బ్లాస్టర్‌ సచిన్‌ టెండూల్కర్‌ 276 ఇన్నింగ్స్‌లో 11వేల మార్క్‌ అందుకోగా కోహ్లి కేవలం 222 ఇన్నింగ్స్‌ల్లోనే ఈ ఘనతను అందుకోవడం విశేషం.,1
"వచ్చే ఏడాది ప్రపంచ స్థాయి ఆటగాళ్లు జట్టులోకి రాబోతున్నారు.
",1
"2014-15లో రూ 3:839 కోట్లు సమకూరగా 2015-16లో రూ 12,474 కోట్ల ఆదాయం వచ్చింది",1
ధోనీ ఖాతాలో మరో రెండు రికార్డులు.,1
ఇటు బ్యాట్స్‌మెన్‌తో పాటు అటు బౌలర్లు కూడా సమష్టిగా రాణించడంతో ఈ విజయం సాధ్యమైంది.,1
అతడి స్థానంలో మరొకరిని తీసుకుంటే పరిస్థితి దిగజారుతుంది.,0
"తిరుపతిలోని టిటిడి విద్యాసంస్థలైన ఎస్వీ ఆర్ట్స్‌ కళాశాల, ఎస్‌పిడబ్ల్యు డిగ్రీ కళాశాల, ఎస్‌జిఎస్‌ ఆర్ట్స్‌ కళాశాల, ఎస్వీ జూనియర్‌ కళాశాల, ఎస్‌పిడబ్ల్యు జూనియర్‌ కళాశాల, ఓరియంటల్‌ కళాశాల, ఎస్‌పిడబ్ల్యు పాలిటెక్నిక్‌ కళాశాలల్లో విద్యార్థిని విద్యార్థులకు వేరువేరుగా శిక్షణ తరగతులు నిర్వహిస్తామ‌ని, ఇందుకోసం ఆయా క‌ళాశాల‌ల్లో ఏర్పాట్లు చేప‌ట్టాల‌ని సూచించారు.
",1
"దీంతో శ్రీకాకుళం ఉత్త‌ర మ‌రియు తీర ప్రాంతాల్లో రెడ్ అలెర్ట్ జారీ చేశారు.
",1
సెమీస్‌లో లక్ష్యసేన్‌.,1
హ_x005F_x007f_దయంతో సినిమాను తీశారు.,1
"గంట‌కు 120 కిలోమీట‌ర్ల వేగంతో పెనుగాలులు వీస్తున్నాయి.
",0
"ఎవరి నిర్ణయాలు అయినా, ఎవరి ప్లానింగ్ అయినా ప్రస్తుతానికి నష్టపోతున్నది బెల్లంకొండ శ్రీనివాస్ నే",0
26 మంది విద్యార్థులు ఆత్మహత్య చేసుకుంటే ప్రభుత్వానికి చీమకుట్టినట్లుగా లేదన్నారు,0
"ఇందుకు సంబంధించిన వీడియోని బీసీసీఐ తన ట్విట్టర్‌లో అభిమానులతో పంచుకుంది.
",1
2015లో బీజింగ్‌లో జరిగిన ప్రపంచ చాంపియన్‌షిప్‌ లోనూ కిర్వా కాంస్యం గెలుచుకుంది,1
"డిసెంబర్‌కి చిత్రీకరణ పూర్తిచేసి, ఫిబ్రవరిలో సినిమా విడుదల చేస్తాం” అని చెప్పారు.
",1
"విరాట్‌ కోహ్లిని మినహాయిస్తే బ్యాట్స్‌మెన్‌కు ఈ సిరీస్‌ సులభంగా ఏమీ లేదు.
",0
ఈ విషయాన్ని తన ట్విట్టర్‌ ఖాతా ద్వారా ప్రకటించిన విద్యా బాలన్‌ ”మ్యాథ్‌ జీనియస్‌ శంకుతలా దేవి పాత్రలో నటించడం ఎగ్జైటింగ్‌గా ఉంది.,1
